id,date,12h,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen
56b6b,2019-05-02,00-12,14.0,4.0,5.0,25.0,16.0,5.0,3.0
56b6b,2019-05-02,12-24,46.0,12.0,49.0,26.0,14.0,46.0,83.0
56b6b,2019-05-03,00-12,10.0,15.0,52.0,2.0,8.0,30.0,30.0
56b6b,2019-05-03,12-24,36.0,0.0,42.0,16.0,19.0,58.0,100.0
56b6b,2019-05-04,00-12,10.0,0.0,58.0,6.0,4.0,29.0,50.0
56b6b,2019-05-04,12-24,34.0,0.0,60.0,16.0,18.0,70.0,117.0
56b6b,2019-05-05,00-12,4.0,0.0,32.0,2.0,2.0,13.0,20.0
56b6b,2019-05-05,12-24,37.0,0.0,56.0,10.0,14.0,52.0,91.0
56b6b,2019-05-06,00-12,6.0,0.0,61.0,0.0,9.0,18.0,38.0
56b6b,2019-05-06,12-24,26.0,0.0,60.0,2.0,18.0,51.0,82.0
56b6b,2019-05-07,00-12,4.0,0.0,32.0,0.0,2.0,14.0,11.0
56b6b,2019-05-07,12-24,16.0,0.0,60.0,12.0,27.0,70.0,105.0
56b6b,2019-05-08,00-12,12.0,0.0,55.0,4.0,4.0,10.0,19.0
56b6b,2019-05-08,12-24,14.0,0.0,86.0,10.0,18.0,52.0,56.0
56b6b,2019-05-09,00-12,25.0,0.0,70.0,7.0,12.0,44.0,54.0
56b6b,2019-05-09,12-24,37.0,0.0,56.0,11.0,20.0,86.0,123.0
56b6b,2019-05-10,00-12,4.0,0.0,46.0,4.0,6.0,29.0,37.0
56b6b,2019-05-10,12-24,28.0,0.0,56.0,12.0,22.0,63.0,80.0
56b6b,2019-05-11,00-12,6.0,0.0,44.0,2.0,4.0,19.0,18.0
56b6b,2019-05-11,12-24,34.0,0.0,42.0,16.0,16.0,70.0,89.0
56b6b,2019-05-12,00-12,2.0,0.0,61.0,0.0,2.0,21.0,18.0
56b6b,2019-05-12,12-24,32.0,0.0,74.0,14.0,12.0,67.0,106.0
56b6b,2019-05-13,00-12,2.0,0.0,27.0,0.0,6.0,7.0,7.0
56b6b,2019-05-13,12-24,22.0,0.0,48.0,4.0,20.0,65.0,112.0
56b6b,2019-05-14,00-12,0.0,0.0,46.0,0.0,8.0,31.0,19.0
56b6b,2019-05-14,12-24,35.0,0.0,55.0,16.0,24.0,69.0,108.0
56b6b,2019-05-15,00-12,11.0,0.0,43.0,2.0,14.0,20.0,19.0
56b6b,2019-05-15,12-24,36.0,0.0,57.0,24.0,28.0,77.0,110.0
56b6b,2019-05-16,00-12,26.0,0.0,81.0,4.0,18.0,48.0,53.0
56b6b,2019-05-16,12-24,34.0,0.0,55.0,26.0,8.0,46.0,126.0
56b6b,2019-05-17,00-12,9.0,0.0,61.0,6.0,0.0,23.0,26.0
56b6b,2019-05-17,12-24,33.0,0.0,62.0,8.0,27.0,69.0,105.0
56b6b,2019-05-18,00-12,6.0,0.0,47.0,0.0,2.0,14.0,11.0
56b6b,2019-05-18,12-24,40.0,0.0,46.0,20.0,17.0,62.0,105.0
56b6b,2019-05-19,00-12,0.0,0.0,43.0,0.0,2.0,16.0,10.0
56b6b,2019-05-19,12-24,11.0,0.0,43.0,4.0,6.0,41.0,59.0
56b6b,2019-05-20,00-12,6.0,0.0,51.0,0.0,10.0,22.0,20.0
56b6b,2019-05-20,12-24,16.0,0.0,70.0,6.0,23.0,58.0,101.0
56b6b,2019-05-21,00-12,9.0,0.0,49.0,4.0,12.0,27.0,20.0
56b6b,2019-05-21,12-24,15.0,0.0,52.0,10.0,36.0,64.0,67.0
56b6b,2019-05-22,00-12,0.0,0.0,37.0,0.0,8.0,21.0,19.0
56b6b,2019-05-22,12-24,26.0,0.0,67.0,25.0,26.0,70.0,117.0
56b6b,2019-05-23,00-12,12.0,0.0,48.0,0.0,16.0,34.0,34.0
56b6b,2019-05-23,12-24,16.0,0.0,36.0,6.0,16.0,39.0,43.0
56b6b,2019-05-24,00-12,14.0,0.0,59.0,0.0,11.0,52.0,57.0
56b6b,2019-05-24,12-24,14.0,0.0,59.0,7.0,22.0,60.0,85.0
56b6b,2019-05-25,00-12,6.0,0.0,54.0,0.0,2.0,29.0,25.0
56b6b,2019-05-25,12-24,16.0,0.0,38.0,12.0,12.0,35.0,58.0
56b6b,2019-05-26,00-12,10.0,0.0,35.0,2.0,2.0,21.0,15.0
56b6b,2019-05-26,12-24,28.0,0.0,58.0,17.0,16.0,53.0,87.0
56b6b,2019-05-27,00-12,0.0,0.0,56.0,0.0,2.0,15.0,10.0
56b6b,2019-05-27,12-24,18.0,0.0,50.0,23.0,8.0,42.0,82.0
56b6b,2019-05-28,00-12,14.0,0.0,50.0,8.0,10.0,22.0,37.0
56b6b,2019-05-28,12-24,24.0,0.0,45.0,12.0,15.0,66.0,77.0
56b6b,2019-05-29,00-12,12.0,0.0,43.0,0.0,14.0,27.0,21.0
