id,date,12h,back-door,bedroom,fridge-door,front-door,hallway,kitchen,lounge
714d7,2019-04-29,00-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
714d7,2019-04-29,12-24,8.0,25.0,26.0,20.0,52.0,57.0,46.0
714d7,2019-04-30,00-12,3.0,19.0,22.0,2.0,11.0,32.0,1.0
714d7,2019-04-30,12-24,13.0,10.0,10.0,16.0,55.0,52.0,58.0
714d7,2019-05-01,00-12,1.0,24.0,26.0,8.0,19.0,32.0,15.0
714d7,2019-05-01,12-24,1.0,8.0,6.0,6.0,41.0,51.0,42.0
714d7,2019-05-02,00-12,1.0,13.0,20.0,12.0,15.0,28.0,2.0
714d7,2019-05-02,12-24,17.0,17.0,20.0,18.0,49.0,57.0,39.0
714d7,2019-05-03,00-12,1.0,19.0,28.0,8.0,43.0,48.0,18.0
714d7,2019-05-03,12-24,9.0,11.0,18.0,20.0,55.0,50.0,49.0
714d7,2019-05-04,00-12,20.0,16.0,26.0,10.0,31.0,57.0,18.0
714d7,2019-05-04,12-24,6.0,15.0,14.0,12.0,40.0,50.0,30.0
714d7,2019-05-05,00-12,1.0,16.0,30.0,2.0,13.0,35.0,0.0
714d7,2019-05-05,12-24,19.0,15.0,16.0,15.0,38.0,46.0,28.0
714d7,2019-05-06,00-12,0.0,9.0,2.0,4.0,9.0,13.0,5.0
714d7,2019-05-06,12-24,6.0,13.0,8.0,8.0,49.0,46.0,49.0
714d7,2019-05-07,00-12,2.0,25.0,18.0,2.0,12.0,38.0,3.0
714d7,2019-05-07,12-24,6.0,17.0,28.0,12.0,48.0,69.0,62.0
714d7,2019-05-08,00-12,1.0,25.0,12.0,10.0,21.0,22.0,7.0
714d7,2019-05-08,12-24,9.0,6.0,30.0,4.0,42.0,48.0,48.0
714d7,2019-05-09,00-12,3.0,24.0,10.0,8.0,36.0,41.0,26.0
714d7,2019-05-09,12-24,13.0,20.0,18.0,10.0,48.0,56.0,47.0
714d7,2019-05-10,00-12,2.0,20.0,18.0,16.0,15.0,30.0,4.0
714d7,2019-05-10,12-24,6.0,14.0,12.0,8.0,34.0,43.0,20.0
714d7,2019-05-11,00-12,2.0,8.0,12.0,2.0,8.0,20.0,0.0
714d7,2019-05-11,12-24,5.0,3.0,18.0,2.0,13.0,25.0,9.0
714d7,2019-05-12,00-12,3.0,5.0,22.0,0.0,3.0,20.0,0.0
714d7,2019-05-12,12-24,5.0,21.0,32.0,10.0,49.0,69.0,46.0
714d7,2019-05-13,00-12,3.0,18.0,30.0,2.0,10.0,34.0,1.0
714d7,2019-05-13,12-24,7.0,17.0,6.0,10.0,43.0,42.0,43.0
714d7,2019-05-14,00-12,3.0,14.0,22.0,2.0,10.0,29.0,1.0
714d7,2019-05-14,12-24,9.0,18.0,14.0,16.0,48.0,58.0,35.0
714d7,2019-05-15,00-12,1.0,28.0,24.0,4.0,17.0,45.0,2.0
714d7,2019-05-15,12-24,9.0,34.0,16.0,16.0,52.0,50.0,42.0
714d7,2019-05-16,00-12,1.0,28.0,34.0,10.0,36.0,57.0,15.0
714d7,2019-05-16,12-24,7.0,23.0,12.0,16.0,63.0,58.0,45.0
714d7,2019-05-17,00-12,0.0,0.0,0.0,4.0,3.0,5.0,0.0
714d7,2019-05-17,12-24,0.0,0.0,0.0,0.0,0.0,1.0,0.0
714d7,2019-05-18,00-12,0.0,0.0,0.0,4.0,2.0,3.0,0.0
714d7,2019-05-18,12-24,0.0,0.0,0.0,0.0,0.0,3.0,0.0
714d7,2019-05-19,00-12,0.0,0.0,0.0,4.0,2.0,5.0,0.0
714d7,2019-05-19,12-24,0.0,0.0,0.0,0.0,0.0,2.0,0.0
714d7,2019-05-20,00-12,0.0,0.0,0.0,4.0,2.0,4.0,0.0
714d7,2019-05-20,12-24,0.0,0.0,0.0,0.0,0.0,3.0,0.0
714d7,2019-05-21,00-12,0.0,0.0,0.0,4.0,2.0,5.0,0.0
714d7,2019-05-21,12-24,0.0,0.0,0.0,0.0,0.0,1.0,0.0
714d7,2019-05-22,00-12,0.0,0.0,0.0,4.0,2.0,4.0,0.0
714d7,2019-05-22,12-24,0.0,0.0,0.0,0.0,0.0,1.0,0.0
714d7,2019-05-23,00-12,0.0,0.0,0.0,0.0,0.0,1.0,0.0
714d7,2019-05-23,12-24,0.0,0.0,0.0,4.0,2.0,6.0,0.0
714d7,2019-05-24,00-12,1.0,4.0,26.0,6.0,7.0,42.0,1.0
714d7,2019-05-24,12-24,3.0,35.0,34.0,16.0,59.0,77.0,42.0
714d7,2019-05-25,00-12,1.0,20.0,22.0,2.0,8.0,33.0,4.0
714d7,2019-05-25,12-24,3.0,10.0,32.0,14.0,72.0,76.0,60.0
714d7,2019-05-26,00-12,1.0,14.0,36.0,6.0,15.0,42.0,2.0
714d7,2019-05-26,12-24,5.0,14.0,33.0,10.0,46.0,59.0,35.0
714d7,2019-05-27,00-12,1.0,13.0,32.0,6.0,20.0,35.0,6.0
714d7,2019-05-27,12-24,3.0,24.0,24.0,6.0,45.0,46.0,40.0
714d7,2019-05-28,00-12,5.0,23.0,14.0,2.0,11.0,36.0,3.0
714d7,2019-05-28,12-24,11.0,17.0,22.0,16.0,55.0,62.0,43.0
714d7,2019-05-29,00-12,5.0,37.0,26.0,12.0,30.0,44.0,7.0
714d7,2019-05-29,12-24,15.0,13.0,20.0,10.0,32.0,45.0,28.0
714d7,2019-05-30,00-12,3.0,22.0,26.0,2.0,15.0,33.0,6.0
714d7,2019-05-30,12-24,9.0,25.0,24.0,6.0,54.0,62.0,63.0
714d7,2019-05-31,00-12,5.0,25.0,16.0,14.0,38.0,43.0,17.0
714d7,2019-05-31,12-24,7.0,32.0,28.0,12.0,79.0,90.0,57.0
714d7,2019-06-01,00-12,8.0,44.0,16.0,10.0,50.0,68.0,20.0
714d7,2019-06-01,12-24,0.0,0.0,0.0,0.0,0.0,2.0,0.0
714d7,2019-06-02,00-12,0.0,0.0,0.0,4.0,2.0,3.0,0.0
714d7,2019-06-02,12-24,0.0,0.0,0.0,0.0,0.0,3.0,0.0
714d7,2019-06-03,00-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
714d7,2019-06-03,12-24,0.0,0.0,0.0,4.0,2.0,3.0,0.0
714d7,2019-06-04,00-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
714d7,2019-06-04,12-24,0.0,0.0,0.0,4.0,2.0,5.0,0.0
714d7,2019-06-05,00-12,0.0,0.0,0.0,0.0,0.0,2.0,0.0
714d7,2019-06-05,12-24,0.0,0.0,0.0,4.0,2.0,4.0,0.0
714d7,2019-06-06,00-12,0.0,0.0,0.0,0.0,0.0,4.0,0.0
