id,date,hour,bathroom,bedroom,front-door,hallway,kitchen
16f4b,2019-04-01,0,0.0,0.0,0.0,1.0,0.0
16f4b,2019-04-01,4,0.0,0.0,0.0,1.0,0.0
16f4b,2019-04-01,5,0.0,1.0,0.0,0.0,0.0
16f4b,2019-04-01,10,2.0,2.0,0.0,3.0,3.0
16f4b,2019-04-01,11,0.0,0.0,0.0,1.0,4.0
16f4b,2019-04-01,12,0.0,3.0,0.0,2.0,4.0
16f4b,2019-04-01,13,1.0,4.0,1.0,4.0,4.0
16f4b,2019-04-03,15,0.0,0.0,0.0,3.0,3.0
16f4b,2019-04-03,16,1.0,0.0,0.0,8.0,9.0
16f4b,2019-04-03,17,8.0,4.0,0.0,8.0,3.0
16f4b,2019-04-03,18,8.0,5.0,0.0,6.0,4.0
16f4b,2019-04-03,19,5.0,0.0,0.0,4.0,5.0
16f4b,2019-04-03,20,5.0,1.0,0.0,9.0,9.0
16f4b,2019-04-03,21,0.0,0.0,0.0,1.0,1.0
16f4b,2019-04-03,22,3.0,5.0,0.0,7.0,7.0
16f4b,2019-04-03,23,0.0,2.0,0.0,3.0,3.0
16f4b,2019-04-04,0,0.0,2.0,0.0,0.0,0.0
16f4b,2019-04-04,1,0.0,1.0,0.0,0.0,0.0
16f4b,2019-04-04,2,0.0,1.0,0.0,0.0,0.0
16f4b,2019-04-04,4,0.0,1.0,0.0,0.0,0.0
16f4b,2019-04-04,6,1.0,4.0,0.0,1.0,0.0
16f4b,2019-04-04,7,0.0,2.0,0.0,0.0,0.0
16f4b,2019-04-04,8,0.0,1.0,0.0,1.0,1.0
16f4b,2019-04-04,9,5.0,6.0,2.0,15.0,10.0
16f4b,2019-04-04,10,6.0,1.0,5.0,12.0,8.0
16f4b,2019-04-04,11,7.0,3.0,4.0,16.0,13.0
16f4b,2019-04-04,12,4.0,0.0,0.0,9.0,8.0
16f4b,2019-04-04,13,1.0,1.0,4.0,6.0,10.0
16f4b,2019-04-04,14,2.0,5.0,4.0,12.0,18.0
16f4b,2019-04-04,15,3.0,8.0,4.0,10.0,10.0
16f4b,2019-04-04,16,5.0,0.0,0.0,5.0,10.0
16f4b,2019-04-04,17,6.0,3.0,8.0,7.0,11.0
16f4b,2019-04-04,18,1.0,1.0,2.0,3.0,9.0
16f4b,2019-04-04,19,2.0,5.0,0.0,13.0,9.0
16f4b,2019-04-04,20,0.0,7.0,0.0,10.0,6.0
16f4b,2019-04-04,21,4.0,1.0,0.0,9.0,9.0
16f4b,2019-04-04,22,2.0,1.0,0.0,7.0,9.0
16f4b,2019-04-04,23,0.0,5.0,0.0,0.0,0.0
16f4b,2019-04-05,0,0.0,1.0,0.0,0.0,0.0
16f4b,2019-04-05,1,2.0,2.0,0.0,2.0,0.0
16f4b,2019-04-05,3,1.0,4.0,0.0,3.0,0.0
16f4b,2019-04-05,7,0.0,2.0,0.0,0.0,0.0
16f4b,2019-04-05,8,6.0,7.0,0.0,11.0,11.0
16f4b,2019-04-05,9,8.0,2.0,0.0,2.0,8.0
16f4b,2019-04-05,10,4.0,4.0,0.0,5.0,5.0
16f4b,2019-04-05,11,6.0,3.0,8.0,10.0,13.0
16f4b,2019-04-05,12,6.0,5.0,2.0,6.0,5.0
16f4b,2019-04-05,13,2.0,4.0,0.0,3.0,2.0
16f4b,2019-04-05,14,1.0,0.0,0.0,0.0,0.0
16f4b,2019-04-05,15,2.0,13.0,0.0,9.0,8.0
16f4b,2019-04-05,16,11.0,5.0,12.0,19.0,18.0
16f4b,2019-04-05,17,5.0,3.0,0.0,21.0,20.0
16f4b,2019-04-05,18,3.0,3.0,6.0,13.0,23.0
16f4b,2019-04-05,19,7.0,3.0,0.0,15.0,13.0
16f4b,2019-04-05,20,7.0,4.0,10.0,19.0,12.0
16f4b,2019-04-05,21,4.0,2.0,0.0,5.0,23.0
16f4b,2019-04-05,22,1.0,1.0,0.0,6.0,8.0
16f4b,2019-04-05,23,2.0,7.0,0.0,9.0,5.0
16f4b,2019-04-06,0,0.0,3.0,0.0,2.0,2.0
16f4b,2019-04-06,3,0.0,1.0,0.0,1.0,0.0
16f4b,2019-04-06,5,0.0,1.0,0.0,2.0,2.0
16f4b,2019-04-06,6,1.0,3.0,0.0,3.0,2.0
16f4b,2019-04-06,7,0.0,1.0,0.0,0.0,0.0
