id,date,6h,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
d93d8,2019-05-08,00-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d93d8,2019-05-08,06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d93d8,2019-05-08,12-18,10.0,19.0,10.0,33.0,42.0,53.0,25.0
d93d8,2019-05-08,18-24,8.0,6.0,0.0,28.0,30.0,30.0,42.0
d93d8,2019-05-09,00-06,11.0,44.0,0.0,14.0,24.0,16.0,16.0
d93d8,2019-05-09,06-12,30.0,33.0,4.0,20.0,50.0,39.0,27.0
d93d8,2019-05-09,12-18,11.0,7.0,8.0,39.0,35.0,37.0,21.0
d93d8,2019-05-09,18-24,8.0,9.0,0.0,46.0,45.0,32.0,59.0
d93d8,2019-05-10,00-06,6.0,47.0,0.0,8.0,12.0,7.0,9.0
d93d8,2019-05-10,06-12,24.0,30.0,4.0,22.0,35.0,25.0,10.0
d93d8,2019-05-10,12-18,7.0,9.0,4.0,20.0,40.0,43.0,40.0
d93d8,2019-05-10,18-24,10.0,21.0,4.0,26.0,48.0,40.0,34.0
d93d8,2019-05-11,00-06,12.0,36.0,0.0,6.0,22.0,11.0,10.0
d93d8,2019-05-11,06-12,12.0,14.0,0.0,36.0,28.0,40.0,17.0
d93d8,2019-05-11,12-18,14.0,14.0,6.0,37.0,47.0,47.0,53.0
d93d8,2019-05-11,18-24,8.0,3.0,0.0,27.0,33.0,32.0,36.0
d93d8,2019-05-12,00-06,7.0,33.0,0.0,12.0,16.0,15.0,12.0
d93d8,2019-05-12,06-12,17.0,28.0,0.0,22.0,25.0,54.0,12.0
d93d8,2019-05-12,12-18,16.0,5.0,0.0,24.0,37.0,47.0,30.0
d93d8,2019-05-12,18-24,7.0,4.0,0.0,20.0,32.0,28.0,45.0
d93d8,2019-05-13,00-06,8.0,32.0,0.0,4.0,16.0,8.0,15.0
d93d8,2019-05-13,06-12,21.0,29.0,4.0,24.0,39.0,40.0,24.0
d93d8,2019-05-13,12-18,9.0,15.0,2.0,49.0,57.0,49.0,52.0
d93d8,2019-05-13,18-24,10.0,10.0,4.0,39.0,43.0,45.0,53.0
d93d8,2019-05-14,00-06,9.0,36.0,0.0,14.0,24.0,14.0,14.0
d93d8,2019-05-14,06-12,33.0,27.0,4.0,33.0,57.0,44.0,34.0
d93d8,2019-05-14,12-18,21.0,10.0,0.0,53.0,46.0,45.0,43.0
d93d8,2019-05-14,18-24,6.0,4.0,0.0,20.0,22.0,24.0,34.0
