id,date,6h,back-door,bedroom,fridge-door,front-door,hallway,kitchen,lounge,bathroom,total-events,unique-locations,active-location-ratio,private-to-public-ratio,location-entropy,location-dominance-ratio,back-and-forth-count,num-transitions
714d7,2019-04-29,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
714d7,2019-04-29,06-12,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
714d7,2019-04-29,12-18,7,18,20,18,42,39,32,0,176,7,0.88,0.16,2.64,0.24,18,134
714d7,2019-04-29,18-24,1,7,6,2,10,18,14,0,58,7,0.88,0.17,2.43,0.31,6,33
714d7,2019-04-30,00-06,0,5,0,0,1,1,0,0,7,3,0.38,2.5,1.15,0.71,0,3
714d7,2019-04-30,06-12,3,14,22,2,10,31,1,0,83,7,0.88,0.33,2.22,0.37,11,48
714d7,2019-04-30,12-18,11,5,8,12,42,40,49,0,167,7,0.88,0.04,2.41,0.29,22,131
714d7,2019-04-30,18-24,2,5,2,4,13,12,9,0,47,7,0.88,0.15,2.51,0.28,7,37
714d7,2019-05-01,00-06,0,4,0,0,0,0,0,0,4,1,0.12,1.0,-0.0,1.0,0,1
714d7,2019-05-01,06-12,1,20,26,8,19,32,15,0,121,7,0.88,0.3,2.52,0.26,8,70
714d7,2019-05-01,12-18,1,0,6,4,16,24,14,0,65,6,0.75,0.0,2.16,0.37,8,46
714d7,2019-05-01,18-24,0,8,0,2,25,27,28,0,90,5,0.62,0.1,1.99,0.31,10,66
714d7,2019-05-02,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
714d7,2019-05-02,06-12,1,13,20,12,15,28,2,0,91,7,0.88,0.29,2.41,0.31,7,50
714d7,2019-05-02,12-18,5,5,16,16,23,28,16,0,109,7,0.88,0.07,2.6,0.26,10,82
714d7,2019-05-02,18-24,12,12,4,2,26,29,23,0,108,7,0.88,0.15,2.47,0.27,15,78
714d7,2019-05-03,00-06,0,2,0,0,0,0,0,0,2,1,0.12,1.0,-0.0,1.0,0,1
714d7,2019-05-03,06-12,1,17,28,8,43,48,18,0,163,7,0.88,0.16,2.41,0.29,28,113
714d7,2019-05-03,12-18,7,3,16,16,39,33,35,0,149,7,0.88,0.03,2.49,0.26,14,98
714d7,2019-05-03,18-24,2,8,2,4,16,17,14,0,63,7,0.88,0.17,2.44,0.27,2,46
714d7,2019-05-04,00-06,0,3,0,0,0,0,0,0,3,1,0.12,1.0,-0.0,1.0,0,1
714d7,2019-05-04,06-12,20,13,26,10,31,57,18,0,175,7,0.88,0.12,2.59,0.33,15,117
714d7,2019-05-04,12-18,4,1,14,10,24,33,15,0,101,7,0.88,0.01,2.4,0.33,7,65
714d7,2019-05-04,18-24,2,14,0,2,16,17,15,0,66,6,0.75,0.29,2.27,0.26,6,55
714d7,2019-05-05,00-06,0,4,8,0,5,8,0,0,25,4,0.5,0.31,1.94,0.32,0,14
714d7,2019-05-05,06-12,1,12,22,2,8,27,0,0,72,6,0.75,0.34,2.07,0.37,6,41
714d7,2019-05-05,12-18,19,11,16,11,31,37,21,0,146,7,0.88,0.12,2.67,0.25,12,104
714d7,2019-05-05,18-24,0,4,0,4,7,9,7,0,31,5,0.62,0.17,2.25,0.29,0,20
714d7,2019-05-06,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
714d7,2019-05-06,06-12,0,9,2,4,9,13,5,0,42,6,0.75,0.33,2.37,0.31,4,25
714d7,2019-05-06,12-18,2,3,2,6,14,16,11,0,54,7,0.88,0.07,2.43,0.3,4,39
714d7,2019-05-06,18-24,4,10,6,2,35,30,38,0,125,7,0.88,0.1,2.29,0.3,11,87
714d7,2019-05-07,00-06,0,8,0,0,1,3,0,0,12,3,0.38,2.0,1.19,0.67,1,5
714d7,2019-05-07,06-12,2,17,18,2,11,35,3,0,88,7,0.88,0.35,2.24,0.4,3,39
714d7,2019-05-07,12-18,2,6,24,10,22,39,19,0,122,7,0.88,0.08,2.46,0.32,9,81
714d7,2019-05-07,18-24,4,11,4,2,26,30,43,0,120,7,0.88,0.11,2.25,0.36,7,72
714d7,2019-05-08,00-06,0,6,0,0,0,0,0,0,6,1,0.12,1.0,-0.0,1.0,0,1
714d7,2019-05-08,06-12,1,19,12,10,21,22,7,0,92,7,0.88,0.38,2.54,0.24,11,62
714d7,2019-05-08,12-18,7,2,18,0,13,21,19,0,80,6,0.75,0.04,2.35,0.26,5,50
714d7,2019-05-08,18-24,2,4,12,4,29,27,29,0,107,7,0.88,0.05,2.34,0.27,10,78
714d7,2019-05-09,00-06,0,5,0,0,0,0,0,0,5,1,0.12,1.0,-0.0,1.0,0,1
714d7,2019-05-09,06-12,3,19,10,8,36,41,26,0,143,7,0.88,0.18,2.47,0.29,18,111
714d7,2019-05-09,12-18,5,7,18,6,28,32,30,0,126,7,0.88,0.08,2.5,0.25,14,91
714d7,2019-05-09,18-24,8,13,0,4,20,24,17,0,86,6,0.75,0.21,2.4,0.28,11,57
714d7,2019-05-10,00-06,0,3,0,0,0,0,0,0,3,1,0.12,1.0,-0.0,1.0,0,1
714d7,2019-05-10,06-12,2,17,18,16,15,30,4,0,102,7,0.88,0.35,2.51,0.29,5,57
714d7,2019-05-10,12-18,2,10,12,8,23,32,10,0,97,7,0.88,0.15,2.48,0.33,8,70
714d7,2019-05-10,18-24,4,4,0,0,11,11,10,0,40,5,0.62,0.12,2.19,0.27,3,26
714d7,2019-05-11,00-06,0,3,2,0,2,2,0,0,9,4,0.5,0.75,1.97,0.33,0,6
714d7,2019-05-11,06-12,2,5,10,2,6,18,0,0,43,6,0.75,0.21,2.18,0.42,2,23
714d7,2019-05-11,12-18,2,1,10,2,5,15,1,0,36,7,0.88,0.05,2.19,0.42,3,20
714d7,2019-05-11,18-24,3,2,8,0,8,10,8,0,39,6,0.75,0.08,2.41,0.26,6,29
714d7,2019-05-12,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
714d7,2019-05-12,06-12,3,5,22,0,3,20,0,0,53,5,0.62,0.22,1.85,0.42,5,24
714d7,2019-05-12,12-18,5,10,24,8,27,44,14,0,132,7,0.88,0.12,2.49,0.33,12,88
714d7,2019-05-12,18-24,0,11,8,2,22,25,32,0,100,6,0.75,0.14,2.26,0.32,13,67
714d7,2019-05-13,00-06,0,7,0,0,1,2,0,0,10,3,0.38,2.33,1.16,0.7,0,3
714d7,2019-05-13,06-12,3,11,30,2,9,32,1,0,88,7,0.88,0.26,2.14,0.36,5,44
714d7,2019-05-13,12-18,3,4,6,10,28,25,31,0,107,7,0.88,0.05,2.39,0.29,11,79
