id,location_name,date,day,half
0697d,fridge-door,2019-06-28 13:03:29,2019-06-28,12-24
0697d,kitchen,2019-06-28 13:11:44,2019-06-28,12-24
0697d,front-door,2019-06-28 13:13:50,2019-06-28,12-24
0697d,bedroom,2019-06-28 13:13:53,2019-06-28,12-24
0697d,fridge-door,2019-06-28 13:14:09,2019-06-28,12-24
0697d,back-door,2019-06-28 13:14:21,2019-06-28,12-24
0697d,back-door,2019-06-28 13:15:01,2019-06-28,12-24
0697d,fridge-door,2019-06-28 13:15:01,2019-06-28,12-24
0697d,front-door,2019-06-28 13:15:01,2019-06-28,12-24
0697d,back-door,2019-06-28 13:15:02,2019-06-28,12-24
0697d,bathroom,2019-06-28 13:15:04,2019-06-28,12-24
0697d,lounge,2019-06-28 13:15:21,2019-06-28,12-24
0697d,hallway,2019-06-28 13:15:25,2019-06-28,12-24
0697d,bathroom,2019-06-28 13:16:14,2019-06-28,12-24
0697d,bathroom,2019-06-28 13:18:59,2019-06-28,12-24
0697d,bedroom,2019-06-28 13:19:01,2019-06-28,12-24
0697d,bedroom,2019-06-28 13:20:22,2019-06-28,12-24
0697d,lounge,2019-06-28 13:20:45,2019-06-28,12-24
0697d,front-door,2019-06-28 13:20:56,2019-06-28,12-24
0697d,back-door,2019-06-28 13:20:57,2019-06-28,12-24
0697d,fridge-door,2019-06-28 13:20:57,2019-06-28,12-24
0697d,fridge-door,2019-06-28 13:20:58,2019-06-28,12-24
0697d,back-door,2019-06-28 13:20:59,2019-06-28,12-24
0697d,hallway,2019-06-28 13:21:15,2019-06-28,12-24
0697d,front-door,2019-06-28 13:22:32,2019-06-28,12-24
0697d,front-door,2019-06-28 13:22:39,2019-06-28,12-24
0697d,front-door,2019-06-28 13:22:40,2019-06-28,12-24
0697d,lounge,2019-06-28 13:23:05,2019-06-28,12-24
0697d,kitchen,2019-06-28 13:23:06,2019-06-28,12-24
0697d,fridge-door,2019-06-28 13:24:50,2019-06-28,12-24
0697d,fridge-door,2019-06-28 13:25:05,2019-06-28,12-24
0697d,fridge-door,2019-06-28 13:25:06,2019-06-28,12-24
0697d,fridge-door,2019-06-28 13:25:08,2019-06-28,12-24
0697d,fridge-door,2019-06-28 13:25:09,2019-06-28,12-24
0697d,fridge-door,2019-06-28 13:25:10,2019-06-28,12-24
0697d,fridge-door,2019-06-28 13:25:11,2019-06-28,12-24
0697d,fridge-door,2019-06-28 13:25:12,2019-06-28,12-24
0697d,kitchen,2019-06-28 13:25:19,2019-06-28,12-24
0697d,fridge-door,2019-06-28 13:25:31,2019-06-28,12-24
0697d,fridge-door,2019-06-28 13:25:32,2019-06-28,12-24
0697d,fridge-door,2019-06-28 13:25:33,2019-06-28,12-24
0697d,fridge-door,2019-06-28 13:25:34,2019-06-28,12-24
0697d,fridge-door,2019-06-28 13:25:35,2019-06-28,12-24
0697d,fridge-door,2019-06-28 13:25:36,2019-06-28,12-24
0697d,hallway,2019-06-28 13:25:40,2019-06-28,12-24
0697d,fridge-door,2019-06-28 13:25:45,2019-06-28,12-24
0697d,fridge-door,2019-06-28 13:25:46,2019-06-28,12-24
0697d,lounge,2019-06-28 13:26:19,2019-06-28,12-24
0697d,kitchen,2019-06-28 13:27:18,2019-06-28,12-24
0697d,back-door,2019-06-28 13:27:37,2019-06-28,12-24
0697d,back-door,2019-06-28 13:27:40,2019-06-28,12-24
0697d,back-door,2019-06-28 13:27:42,2019-06-28,12-24
0697d,hallway,2019-06-28 13:28:05,2019-06-28,12-24
0697d,front-door,2019-06-28 13:28:13,2019-06-28,12-24
0697d,back-door,2019-06-28 13:28:16,2019-06-28,12-24
0697d,lounge,2019-06-28 13:28:18,2019-06-28,12-24
0697d,back-door,2019-06-28 13:28:23,2019-06-28,12-24
0697d,back-door,2019-06-28 13:28:24,2019-06-28,12-24
0697d,front-door,2019-06-28 13:28:48,2019-06-28,12-24
0697d,front-door,2019-06-28 13:29:17,2019-06-28,12-24
0697d,front-door,2019-06-28 13:29:21,2019-06-28,12-24
0697d,front-door,2019-06-28 13:29:22,2019-06-28,12-24
0697d,hallway,2019-06-28 13:29:59,2019-06-28,12-24
0697d,front-door,2019-06-28 13:30:48,2019-06-28,12-24
0697d,front-door,2019-06-28 13:30:52,2019-06-28,12-24
0697d,hallway,2019-06-28 13:31:03,2019-06-28,12-24
0697d,lounge,2019-06-28 13:31:08,2019-06-28,12-24
0697d,bedroom,2019-06-28 13:31:33,2019-06-28,12-24
0697d,bathroom,2019-06-28 13:31:33,2019-06-28,12-24
0697d,bathroom,2019-06-28 13:32:44,2019-06-28,12-24
0697d,bedroom,2019-06-28 13:36:04,2019-06-28,12-24
0697d,bedroom,2019-06-28 13:39:11,2019-06-28,12-24
0697d,hallway,2019-06-28 13:41:11,2019-06-28,12-24
0697d,lounge,2019-06-28 13:41:15,2019-06-28,12-24
0697d,lounge,2019-06-28 13:42:38,2019-06-28,12-24
0697d,lounge,2019-06-28 13:44:17,2019-06-28,12-24
0697d,kitchen,2019-06-28 13:45:54,2019-06-28,12-24
0697d,lounge,2019-06-28 13:46:56,2019-06-28,12-24
0697d,lounge,2019-06-28 13:48:31,2019-06-28,12-24
0697d,kitchen,2019-06-28 13:48:47,2019-06-28,12-24
0697d,kitchen,2019-06-28 13:50:11,2019-06-28,12-24
0697d,lounge,2019-06-28 13:50:18,2019-06-28,12-24
0697d,bedroom,2019-06-28 13:50:30,2019-06-28,12-24
0697d,hallway,2019-06-28 13:50:33,2019-06-28,12-24
0697d,kitchen,2019-06-28 13:53:06,2019-06-28,12-24
0697d,lounge,2019-06-28 13:55:16,2019-06-28,12-24
0697d,hallway,2019-06-28 13:55:20,2019-06-28,12-24
0697d,bedroom,2019-06-28 13:55:28,2019-06-28,12-24
0697d,kitchen,2019-06-28 13:56:15,2019-06-28,12-24
0697d,bedroom,2019-06-28 13:57:49,2019-06-28,12-24
0697d,kitchen,2019-06-28 13:57:51,2019-06-28,12-24
0697d,lounge,2019-06-28 13:58:17,2019-06-28,12-24
0697d,bedroom,2019-06-28 13:59:59,2019-06-28,12-24
0697d,lounge,2019-06-28 14:00:17,2019-06-28,12-24
0697d,kitchen,2019-06-28 14:00:59,2019-06-28,12-24
0697d,lounge,2019-06-28 14:02:37,2019-06-28,12-24
0697d,lounge,2019-06-28 14:08:07,2019-06-28,12-24
0697d,hallway,2019-06-28 14:08:10,2019-06-28,12-24
0697d,lounge,2019-06-28 14:09:55,2019-06-28,12-24
0697d,kitchen,2019-06-28 14:10:15,2019-06-28,12-24
0697d,kitchen,2019-06-28 14:12:53,2019-06-28,12-24
0697d,kitchen,2019-06-28 14:14:22,2019-06-28,12-24
0697d,lounge,2019-06-28 14:14:26,2019-06-28,12-24
0697d,hallway,2019-06-28 14:14:29,2019-06-28,12-24
0697d,bedroom,2019-06-28 14:14:38,2019-06-28,12-24
0697d,kitchen,2019-06-28 14:15:30,2019-06-28,12-24
0697d,lounge,2019-06-28 14:18:18,2019-06-28,12-24
0697d,bedroom,2019-06-28 14:18:30,2019-06-28,12-24
0697d,kitchen,2019-06-28 14:18:53,2019-06-28,12-24
0697d,bedroom,2019-06-28 14:20:00,2019-06-28,12-24
0697d,bedroom,2019-06-28 14:21:31,2019-06-28,12-24
0697d,hallway,2019-06-28 14:21:44,2019-06-28,12-24
0697d,lounge,2019-06-28 14:21:50,2019-06-28,12-24
0697d,fridge-door,2019-06-28 14:22:44,2019-06-28,12-24
0697d,lounge,2019-06-28 14:23:10,2019-06-28,12-24
0697d,hallway,2019-06-28 14:23:39,2019-06-28,12-24
0697d,front-door,2019-06-28 14:23:48,2019-06-28,12-24
0697d,fridge-door,2019-06-28 14:23:56,2019-06-28,12-24
