iter	Logloss
0	0.6832222542
1	0.6721475704
2	0.6619447364
3	0.6509807277
4	0.6391712633
5	0.62910378
6	0.6172271477
7	0.6075364438
8	0.5973100627
9	0.5884016729
10	0.5802910916
11	0.5718067732
12	0.5629638207
13	0.5533577485
14	0.5457989961
15	0.5382905637
16	0.5301259691
17	0.5228404796
18	0.51572354
19	0.5105960784
20	0.503123936
21	0.4960605997
22	0.4870526913
23	0.4797500852
24	0.4735664441
25	0.467343539
26	0.4612526933
27	0.4551388667
28	0.4479559225
29	0.4412338881
30	0.4382479992
31	0.4331299752
32	0.4289441562
33	0.4231931065
34	0.4183037972
35	0.4120951247
36	0.4082141873
37	0.4039385655
38	0.3994641947
39	0.3937744084
40	0.3892627849
41	0.3837898642
42	0.3802102249
43	0.3769091472
44	0.3721087441
45	0.3681758306
46	0.3625819861
47	0.3586367883
48	0.3553148573
49	0.3518400805
50	0.3495137695
51	0.3457439781
52	0.3421689151
53	0.3397015017
54	0.3356614129
55	0.3331545973
56	0.3305822673
57	0.327105475
58	0.3247077086
59	0.3225882262
60	0.3190331289
61	0.3164354237
62	0.3136266701
63	0.3099302407
64	0.3074859937
65	0.3048355685
66	0.3016926098
67	0.2986153093
68	0.2950635033
69	0.29229959
70	0.2912699682
71	0.2889666245
72	0.2863285867
73	0.2833330669
74	0.2818872934
75	0.2789848879
76	0.2767365404
77	0.2742286159
78	0.27225803
79	0.2692310076
80	0.266801698
81	0.2645071081
82	0.2621329041
83	0.2602093434
84	0.2581005604
85	0.2554479336
86	0.2537274588
87	0.2518915271
88	0.2506025886
89	0.2488155197
90	0.2467417151
91	0.2448585354
92	0.2430798731
93	0.2408414537
94	0.2391487253
95	0.2366516868
96	0.2344510619
97	0.233058343
98	0.2316058524
99	0.2300676002
100	0.2279670978
101	0.2264422771
102	0.224554136
103	0.223078997
104	0.2211381318
105	0.2189340012
106	0.21736172
107	0.2158737867
108	0.2145095026
109	0.2124689748
110	0.2112909937
111	0.2099672303
112	0.2084878298
113	0.2069766004
114	0.2057245927
115	0.2050160859
116	0.2037602145
117	0.2022898084
118	0.200884534
119	0.1997250942
120	0.1983968648
121	0.1974405283
122	0.1964452547
123	0.1954987909
124	0.1946222018
125	0.1935973391
126	0.1923571466
127	0.1911679771
128	0.1900055915
129	0.1888833509
130	0.1877383058
131	0.1868650311
132	0.1858971903
133	0.1851153062
134	0.1839283896
135	0.1829773808
136	0.181573106
137	0.1802658837
138	0.179266188
139	0.1783845754
140	0.1772612125
141	0.1762303176
142	0.1753170211
143	0.1745866245
144	0.1734722674
145	0.1724225915
146	0.1714020095
147	0.1705623371
148	0.1695258461
149	0.1687709833
150	0.1679491261
151	0.1672207183
152	0.1662883542
153	0.1653802299
154	0.1644827976
155	0.1635200472
156	0.1625662514
157	0.1616844706
158	0.1609876209
159	0.1602354918
160	0.1593814322
161	0.1586026531
162	0.157754722
163	0.1569295142
164	0.1562175438
165	0.1554823902
166	0.1547603935
167	0.1538657914
168	0.153034201
169	0.1521667235
170	0.1513399278
171	0.1504639843
172	0.1497111908
173	0.1486946278
174	0.1480810577
175	0.1472899124
176	0.1465207895
177	0.1458917114
178	0.1450483957
179	0.1445606958
180	0.1440141631
181	0.1434999575
182	0.1427534382
183	0.1421433675
