model,auc-roc,auc-pr,accuracy,precision,recall,f1-score,sensitivity,specificity,tn,fp,fn,tp
catboost,0.9761,0.3818,0.9838,0.3936,0.5481,0.4582,0.5481,0.9893,10541.0,114.0,61.0,74.0
dt,0.677,0.3544,0.9831,0.3379,0.363,0.35,0.363,0.991,10559.0,96.0,86.0,49.0
gradient-boosting,0.9494,0.2077,0.8984,0.1012,0.9037,0.1821,0.9037,0.8984,9572.0,1083.0,13.0,122.0
lightgbm,0.972,0.432,0.9879,0.5204,0.3778,0.4378,0.3778,0.9956,10608.0,47.0,84.0,51.0
logistic-regression,0.9444,0.2555,0.8955,0.096,0.8741,0.173,0.8741,0.8957,9544.0,1111.0,17.0,118.0
mlp,0.1355,0.0067,0.9875,0.0,0.0,0.0,0.0,1.0,10655.0,0.0,135.0,0.0
naive-bayes,0.8936,0.3298,0.7718,0.0475,0.9037,0.0902,0.9037,0.7702,8206.0,2449.0,13.0,122.0
random-forest,0.9572,0.3424,0.9875,0.5,0.0741,0.129,0.0741,0.9991,10645.0,10.0,125.0,10.0
svm,0.9497,0.2391,0.9873,0.4,0.0296,0.0552,0.0296,0.9994,10649.0,6.0,131.0,4.0
xgboost,0.9667,0.3807,0.9865,0.4567,0.4296,0.4427,0.4296,0.9935,10586.0,69.0,77.0,58.0
