model,auc-roc,auc-pr,accuracy,precision,recall,f1-score,sensitivity,specificity,tn,fp,fn,tp
catboost,0.909,0.1966,0.9797,0.2717,0.3704,0.3135,0.3704,0.9874,10521.0,134.0,85.0,50.0
dt,0.6099,0.2344,0.9807,0.2296,0.2296,0.2296,0.2296,0.9902,10551.0,104.0,104.0,31.0
gradient-boosting,0.91,0.1455,0.8524,0.0676,0.8444,0.1252,0.8444,0.8525,9083.0,1572.0,21.0,114.0
lightgbm,0.9055,0.2468,0.9867,0.4259,0.1704,0.2434,0.1704,0.9971,10624.0,31.0,112.0,23.0
logistic-regression,0.933,0.2461,0.8942,0.0923,0.8444,0.1664,0.8444,0.8948,9534.0,1121.0,21.0,114.0
mlp,0.1185,0.0066,0.9875,0.0,0.0,0.0,0.0,1.0,10655.0,0.0,135.0,0.0
naive-bayes,0.8868,0.3125,0.7567,0.0446,0.9037,0.085,0.9037,0.7549,8043.0,2612.0,13.0,122.0
random-forest,0.8945,0.1817,0.987,0.1429,0.0074,0.0141,0.0074,0.9994,10649.0,6.0,134.0,1.0
svm,0.9072,0.1552,0.9874,0.0,0.0,0.0,0.0,0.9999,10654.0,1.0,135.0,0.0
xgboost,0.9089,0.2001,0.9851,0.3415,0.2074,0.2581,0.2074,0.9949,10601.0,54.0,107.0,28.0
